Produto	Origem	Estoque
1	Arg	44651
2	Chi	3750
3	Bra	1587
4	Bra	46517
5	Chi	12163
6	Arg	136304
7	Bra	85661
8	Por	7593
9	Bra	11300
10	Bra	126264
11	Chi	137246
12	Por	133308
13	Arg	101597
14	Bra	83776
15	Por	42675
16	Chi	134600
17	Chi	104947
18	Arg	118980
19	Arg	82569
20	Por	111201
21	Bra	58843
22	Chi	52542
23	Bra	12867
24	Arg	16369
25	Arg	55057
26	Bra	111050
27	Arg	102221
28	Arg	25803
29	Chi	45197
30	Chi	67374
31	Arg	13674
32	Arg	2876
33	Chi	6413
34	Por	134751
35	Por	78350
36	Por	29317
37	Arg	62994
38	Chi	64068
39	Arg	75381
40	Por	79548
41	Arg	131872
42	Chi	24838
43	Bra	136196
44	Bra	62805
45	Bra	39158
46	Arg	5798
47	Por	35454
48	Por	16059
49	Bra	127529
50	Arg	28882
51	Por	61207
52	Arg	42785
53	Por	21768
54	Chi	125855
55	Arg	137033
56	Arg	101264
57	Bra	64744
58	Arg	86701
59	Bra	127651
60	Bra	57709
61	Arg	47433
62	Arg	58296
63	Por	75721
64	Chi	6220
65	Chi	101284
66	Bra	54254
67	Por	132696
68	Por	139343
69	Chi	43848
70	Bra	98159
71	Chi	110297
72	Por	115298
73	Arg	116438
74	Arg	19436
75	Bra	87754
76	Por	65004
77	Chi	35264
78	Por	11783
79	Chi	9402
80	Por	41
81	Chi	18193
82	Por	92987
83	Por	23454
84	Arg	124705
85	Bra	96986
86	Arg	76525
87	Chi	87667
88	Por	64197
89	Arg	111895
90	Chi	118849
91	Arg	115384
92	Por	135370
93	Bra	50546
94	Por	19625
95	Bra	39771
96	Chi	27730
97	Bra	59461
98	Chi	60716
99	Bra	79803
100	Por	40254
101	Chi	37707
102	Chi	134117
103	Bra	22756
104	Arg	54775
105	Bra	35482
106	Chi	1311
107	Arg	65920
108	Bra	40694
109	Por	113761
110	Bra	55134
111	Chi	113318
112	Por	123162
113	Arg	102970
114	Bra	24643
115	Por	58239
116	Por	46764
117	Bra	11680
118	Bra	9360
119	Chi	18715
120	Arg	109857
121	Arg	127600
122	Por	127189
123	Chi	3118
124	Chi	128191
125	Por	136835
126	Bra	114369
127	Chi	115314
128	Chi	121872
129	Arg	53740
130	Bra	116825
131	Bra	81074
132	Chi	138171
133	Arg	8400
134	Por	68169
135	Chi	106784
136	Chi	81864
137	Bra	119779
138	Arg	99580
139	Chi	71582
140	Chi	69887
141	Arg	53877
142	Bra	136379
143	Arg	62401
144	Arg	125937
145	Arg	27516
146	Chi	64349
147	Arg	129774
148	Arg	116669
149	Bra	5760
150	Bra	105506
151	Chi	119312
152	Chi	109540
153	Arg	73520
154	Por	41738
155	Por	2622
156	Bra	109328
157	Por	77765
158	Por	69084
159	Bra	52885
160	Chi	110342
161	Por	107085
162	Chi	107156
163	Bra	59009
164	Bra	63264
165	Bra	22574
166	Chi	105852
167	Arg	12621
168	Arg	45677
